Order ID,Customer ID,Product ID,Date,Original Price,Discount%,Price after discount
OD0001,C001,P0001,04-11-2022,349,30%,244
OD0002,C002,P0001,28-01-2022,350,30%,245
OD0003,C003,P0001,06-08-2021,351,30%,246
OD0004,C004,P0001,22-12-2021,352,25%,264
OD0005,C005,P0001,20-08-2021,353,25%,265
OD0006,C006,P0002,17-08-2022,354,30%,248
OD0007,C007,P0003,18-02-2021,355,30%,249
OD0008,C008,P0004,20-04-2022,356,30%,249
OD0009,C009,P0005,30-12-2022,2222,40%,1333
OD0010,C010,P0006,20-08-2022,2342,40%,1405
OD0011,C011,P0007,08-07-2021,2241,40%,1345
OD0012,C012,P0007,10-08-2021,2253,40%,1352
OD0013,C013,P0007,28-02-2022,2245,40%,1347
OD0014,C014,P0008,22-01-2022,2231,40%,1339
OD0015,C015,P0009,04-09-2022,2452,45%,1349
OD0016,C016,P0010,21-08-2021,2236,45%,1230
OD0017,C017,P0011,10-02-2022,2245,45%,1235
OD0018,C018,P0012,30-06-2022,2235,47%,1185
OD0019,C019,P0012,22-03-2023,2214,47%,1173
OD0020,C020,P0012,03-09-2022,2231,46%,1205
OD0021,C021,P0013,14-12-2021,2145,46%,1158
OD0022,C022,P0014,05-06-2022,2356,46%,1272
OD0023,C023,P0015,06-06-2021,2412,30%,1688
OD0024,C024,P0016,17-03-2023,2234,30%,1564
OD0025,C025,P0017,08-12-2022,2214,30%,1550
OD0026,C026,P0018,18-01-2022,999,30%,699
OD0027,C027,P0019,31-03-2022,1119,30%,783
OD0028,C028,P0020,17-06-2022,1119,35%,727
OD0029,C029,P0021,19-11-2021,1119,35%,727
OD0030,C030,P0022,08-09-2022,1119,35%,727
OD0031,C031,P0023,13-01-2022,985,35%,640
OD0032,C032,P0024,29-10-2022,985,35%,640
OD0033,C033,P0024,02-02-2023,985,35%,640
OD0034,C034,P0024,27-04-2022,985,40%,591
OD0035,C035,P0025,21-02-2023,985,40%,591
OD0036,C036,P0026,07-03-2023,369,15%,314
OD0037,C037,P0027,17-04-2021,399,15%,339
OD0038,C038,P0028,14-09-2021,399,15%,339
OD0039,C039,P0029,26-04-2022,399,35%,259
OD0040,C040,P0030,13-11-2021,399,35%,259
OD0041,C041,P0031,20-06-2021,555,35%,361
OD0042,C042,P0032,28-01-2023,555,35%,361
OD0043,C043,P0033,21-03-2021,555,55%,250
OD0044,C044,P0034,12-02-2021,555,55%,250
OD0045,C045,P0035,17-03-2022,675,55%,304
OD0046,C046,P0036,21-05-2022,675,55%,304
OD0047,C047,P0037,20-03-2023,675,50%,338
OD0048,C048,P0038,14-12-2022,654,50%,327
OD0049,C049,P0038,10-04-2022,654,50%,327
